Titulo,Fabricante,preco,loja,tipo_produto,quantidade_unidades,peso_gramas,faixa_peso,preco_100g,preco_500g,preco_unidade
Café Torrado e Moído Descafeinado Melitta 250g,Melitta,40.98,Mambo,tradicional,,250.0,101g_250g,16.392,81.96,
Café Torrado e Moído Descafeínado a Vácuo Pilão 250g,Pilão,40.98,Mambo,tradicional,,250.0,101g_250g,16.392,81.96,
Cápsula de Café Bourbon Amarelo Orfeu 50g com 10 Unidades,Orfeu,29.99,Mambo,capsula,10.0,50.0,ate_100g,59.98,299.9,2.999
Cápsula de Café Clássico Orfeu 90g com 10 Unidades,Orfeu,29.99,Mambo,capsula,10.0,90.0,ate_100g,33.3222,166.6111,2.999
Cápsula de Café Intenso Orfeu 90g com 10 Unidades,Orfeu,29.99,Mambo,capsula,10.0,90.0,ate_100g,33.3222,166.6111,2.999
Cápsula de Café Orgânico Orfeu 90g com 10 Unidades,Orfeu,36.98,Mambo,capsula,10.0,90.0,ate_100g,41.0889,205.4444,3.698
Cápsula de Café Torrado e Moído Clássico Espresso Illy Caixa 57g com 10 Unidades,Illy,24.99,Mambo,capsula,10.0,57.0,ate_100g,43.8421,219.2105,2.499
Cápsula de Café Forte Espresso Illy Caixa 57g com 10 Unidades,Illy,24.99,Mambo,capsula,10.0,57.0,ate_100g,43.8421,219.2105,2.499
Cápsula de Café Intenso Espresso Illy Caixa 57g com 10 Unidades,Illy,24.99,Mambo,capsula,10.0,57.0,ate_100g,43.8421,219.2105,2.499
Café em Grãos Classico Illy Blend 250g,Illy,48.98,Mambo,graos,,250.0,101g_250g,19.592,97.96,
Cápsula de Café Epiq Intensidade 14 Delta Q 55g com 10 Unidades,Delta Q,28.49,Mambo,capsula,10.0,55.0,ate_100g,51.8,259.0,2.849
Café Torrado e Moído Especial a Vácuo Melitta 500g,Melitta,56.98,Mambo,tradicional,,500.0,251g_500g,11.396,56.98,
Café em Cápsulas de Torrado e moído Pilão Fortíssimo 10 - 52g com 10 Cápsulas,Pilão,25.49,Mambo,capsula,10.0,52.0,ate_100g,49.0192,245.0962,2.549
Café em Cápsula Torrado e Moído Espresso Extraforte Pilão Caixa 52g 10 Unidades,Pilão,25.49,Mambo,capsula,10.0,52.0,ate_100g,49.0192,245.0962,2.549
Café em Cápsulas de Torrado e moído Pilão Tradicional 07 52g com 10 Cápsulas ,Pilão,25.49,Mambo,capsula,10.0,52.0,ate_100g,49.0192,245.0962,2.549
Cápsula de Café Espresso Ameno Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,capsula,10.0,80.0,ate_100g,22.475,112.375,1.798
Cápsula de Café Espresso Atento Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,capsula,10.0,80.0,ate_100g,22.475,112.375,1.798
Cápsula de Café Espresso Colombia L'or 52g com 10 Unidades,L'OR,30.98,Mambo,capsula,10.0,52.0,ate_100g,59.5769,297.8846,3.098
Cápsula de Café Descafeinado Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,capsula,10.0,80.0,ate_100g,22.475,112.375,1.798
Cápsula de Café Espresso Forza L'or 52 com 10 Unidades,L'OR,30.98,Mambo,capsula,10.0,,sem_peso,,,3.098
Café em Grãos Espresso Gourmet Ituano 1kg,Ituano,119.98,Mambo,graos,,1000.0,501g_1kg,11.998,59.99,
Café em Grãos Espresso Intenso Evolutto 1kg,Evolutto,132.98,Mambo,graos,,1000.0,501g_1kg,13.298,66.49,
Cápsula de Café Espresso Lungo Estremo L'or 52g com 10 Unidades,L'OR,30.98,Mambo,capsula,10.0,52.0,ate_100g,59.5769,297.8846,3.098
Cápsula de Café Espresso Onyx L'or 52g com 10 Unidades,L'OR,30.98,Mambo,capsula,10.0,52.0,ate_100g,59.5769,297.8846,3.098
Cápsula de Café Espresso Pleno Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,capsula,10.0,80.0,ate_100g,22.475,112.375,1.798
Cápsula de Café Espresso Ristretto Descafeinado L'or 52g com 10 Unidades,L'OR,30.98,Mambo,capsula,10.0,52.0,ate_100g,59.5769,297.8846,3.098
Cápsula de Café Espresso Ristretto L'or 52g com 10 Unidades,L'OR,30.98,Mambo,capsula,10.0,52.0,ate_100g,59.5769,297.8846,3.098
Cápsula de Café Espresso Select Orgânico Native 50g com 10 Unidades,Native,29.98,Mambo,capsula,10.0,50.0,ate_100g,59.96,299.8,2.998
Cápsula de Café Espresso Sontuoso L'or 52g com 10 Unidades,L'OR,30.98,Mambo,capsula,10.0,52.0,ate_100g,59.5769,297.8846,3.098
Café em Grãos Espresso Superior Ituano 1kg,Ituano,115.98,Mambo,graos,,1000.0,501g_1kg,11.598,57.99,
